#QueryTime	UserID	Query	ItemRank	ClickURL
2008-11-13 00:01:30	2289203	kitchen counter in new orleans	10	http://www.era.com
2008-11-13 00:01:30	2289203	kitchen counter in new orleans	4	http://www.superpages.com
2008-11-13 00:01:30	2289203	kitchen counter in new orleans	5	http://www.superpages.com
2008-11-13 00:01:31	1958633	beads amethyst gemstone	1	http://www.gemsbiz.com
2008-11-13 00:01:31	3496052	chat		
2008-11-13 00:01:33	892003	photo example quarter doubled die coin	5	http://www.coinresource.com
2008-11-13 00:01:33	892003	photo example quarter doubled die coin	5	http://www.coinresource.com
2008-11-13 00:01:35	2251112	radio stations in buffalo	1	http://www.ontheradio.net
2008-11-13 00:01:37	1274922	fafsa renewal	1	http://www.fafsa.ed.gov
2008-11-13 00:01:37	1274922	fafsa renewal	1	http://www.fafsa.ed.gov
2008-11-13 00:01:37	441978	find phone numbers	1	http://www.anywho.com
2008-11-13 00:01:37	441978	find phone numbers	3	http://www.411.com
2008-11-13 00:01:38	2185833	dickinson poem contradicts age of reason		
2008-11-13 00:01:38	3396305	www.e-zpass.com		
2008-11-13 00:01:39	1492683	finding a volunteer position		
2008-11-13 00:01:39	2764185	plays perry cox wife scrubs	9	http://www.reference.com
2008-11-13 00:01:39	492002	richard d. vogelsang chattanooga		
2008-11-13 00:01:40	1211147	new adventures in hi-fi	1	http://www.amazon.com
2008-11-13 00:01:40	2185833	dickinson poem contradicts age of reason		
2008-11-13 00:01:42	1867905	msn com		
2008-11-13 00:01:44	1534134	-		
2008-11-13 00:01:44	1969510	lyrics on demand	1	http://www.lyricsondemand.com
2008-11-13 00:01:44	1969510	lyrics on demand	1	http://www.lyricsondemand.com
2008-11-13 00:01:44	1969510	lyrics on demand	2	http://www.lyrics-on-demand.com
2008-11-13 00:01:45	2499349	hotmail		
2008-11-13 00:01:47	1433742	24 hour wow leveling... 20		
2008-11-13 00:01:49	2957680	homestore.inc		
2008-11-13 00:01:50	203378	allen texis		
2008-11-13 00:01:50	2126555	wynkoop brokers	2	http://www.realestatequickly.com
2008-11-13 00:01:52	22542	www.bethelnation.com		
2008-11-13 00:01:52	588648	rental mls		
2008-11-13 00:01:53	2475680	www.dmvca.gov		
2008-11-13 00:01:53	3389643	www.uabhealthsystems.com		
2008-11-13 00:01:54	1162796	make a astronaut costume from items at home	21	http://www.sbgmusic.com
2008-11-13 00:01:54	1671819	www.somecodes.com	5	http://www.blogskins.com
2008-11-13 00:01:56	2030955	terrier mix rescue	1	http://www.fpv.com
2008-11-13 00:01:56	2030955	terrier mix rescue	2	http://aarescue.org
2008-11-13 00:02:01	1316084	trellis as wall decor		
2008-11-13 00:02:02	1499659	ohio medical card	1	http://jfs.ohio.gov
2008-11-13 00:02:02	3470914	go		
2008-11-13 00:02:03	1072578	weatther	1	http://daciel.da.funpic.de
2008-11-13 00:02:03	2364922	dryer balls		
2008-11-13 00:02:03	3524271	smith and barney	1	http://www.smithbarney.com
2008-11-13 00:02:05	2420729	episcopal retirement homes birmingham alabama	1	http://www.retirementhomes.com
2008-11-13 00:02:08	936326	abc	1	http://abc.go.com
2008-11-13 00:02:10	1196769	zip codes		
2008-11-13 00:02:11	2060958	high resolution professional photos	6	http://www.ablestock.com
2008-11-13 00:02:12	1266142	www.melrose california hotels		
2008-11-13 00:02:13	1969336	galls	1	http://www.galls.com
2008-11-13 00:02:17	1669469	webe web	2	http://www.wired.com
2008-11-13 00:02:17	1669469	webe web	5	http://www.nbc6.net
2008-11-13 00:02:17	1669469	webe web	8	http://www.daisy-model.com
2008-11-13 00:02:18	203378	allen texas		
2008-11-13 00:02:20	605089	dachsunds or sale in conroe texas	2	http://www.houstonzone.org
2008-11-13 00:02:20	605089	dachsunds or sale in conroe texas	4	http://www.hoobly.com
2008-11-13 00:02:20	605089	dachsunds or sale in conroe texas	5	http://conroe-tx.ziply.com
2008-11-13 00:02:20	605089	dachsunds or sale in conroe texas	5	http://conroe-tx.ziply.com
2008-11-13 00:02:21	3119121	carlito's angels	47	http://www.cinemanow.com
2008-11-13 00:02:22	1293475	www.socialsecurity.gov gov retire2 delavret.htm		
2008-11-13 00:02:22	3389643	uabhealthsystems.com		
2008-11-13 00:02:25	1958633	beads amethyst gemstone wholesale		
2008-11-13 00:02:25	2744668	www.chahuahua.net		
2008-11-13 00:02:25	713071	free tickets to zoo for military	1	http://www.sandiegozoo.org
2008-11-13 00:02:26	1433742	1 day powerlevleing wow		
2008-11-13 00:02:26	3074372	cherry animated		
2008-11-13 00:02:27	861363	4-h catalog		
2008-11-13 00:02:28	3265859	book spiritual awakening by darsnan singh		
2008-11-13 00:02:30	3484937	gucci sneakers	1	http://www.raffaello-network.com
2008-11-13 00:02:30	3484937	gucci sneakers	3	http://nbc.shopthescene.com
2008-11-13 00:02:30	3484937	gucci sneakers	5	http://shopping.yahoo.com
2008-11-13 00:02:31	3312059	nude	1	http://www.photographysites.com
2008-11-13 00:02:32	1072578	weather		
2008-11-13 00:02:32	203378	allen texas zip code		
2008-11-13 00:02:32	2475680	california department of motor vehicles		
2008-11-13 00:02:32	3525967	unity		
2008-11-13 00:02:35	2957680	virtual tour		
2008-11-13 00:02:35	997779	parisians		
2008-11-13 00:02:36	2957175	sirius.com		
2008-11-13 00:02:37	2094455	www.h		
2008-11-13 00:02:37	2722541	gamespot.com	1	http://www.gamespot.com
2008-11-13 00:02:38	2057661	desmoinesregister		
2008-11-13 00:02:38	2957680	virtual tour	6	http://www.visualtour.com
2008-11-13 00:02:39	1978780	ixora shrub	24	http://www.rockledgegardens.com
2008-11-13 00:02:39	3074372	cherry animated		
2008-11-13 00:02:41	1082546	becton dickenson	1	http://www.bd.com
2008-11-13 00:02:41	1082546	becton dickenson	1	http://www.bd.com
2008-11-13 00:02:42	861363	4-h jackets	1	http://www.showjacket.com
2008-11-13 00:02:49	3443859	free trek tricorder		
2008-11-13 00:02:51	2758820	teaching tips	11	http://www.psychologicalscience.org
2008-11-13 00:02:51	515360	giant leaf basil plant	4	http://www.kitchengardenseeds.com
